"Company Name","Industry","Products/Services","Founded","Location","Key Value Proposition"
"Intics","AI Document Processing","Intelligent document processing using AI/ML","2022","McKinney, TX","https://www.linkedin.com/pulse/intics-transforming-document-processing-intelligent-solutions"
"Dreamline Global","Manufacturing, Machinery","Sticker Labeling Machine, Bottle Filling, Packaging, Inkjet Printing","2019","Rohtak, Haryana","https://www.indiamart.com/dreamline-global-haryana/"
"Saffron Edge","Marketing Services","B2B Marketing, SEO, Paid Marketing, Marketing Automation","2008","Totowa, New Jersey","https://www.linkedin.com/company/saffron-edge"
"Surana Telecom","Telecommunications & Power","Telecom Products, Power Cables, Solar Energy","1989","India","https://www.suranatele.com"
"Monnit","IoT Solutions","Remote Monitoring Solutions, Wireless Sensors","2010","Salt Lake City, UT","https://www.linkedin.com/company/monnit-corp-"
"Sunfox Technologies","Medical Equipment","Portable ECG Devices (Spandan)","2016","Dehradun, Uttarakhand","https://in.linkedin.com/company/sunfox"
"E2E Networks","Cloud Computing","AI-first Cloud Platform, GPU Solutions","2009","New Delhi, India","https://groww.in/stocks/ee-networks-ltd"
"Clarigro","Financial Services","Bookkeeping, Accounting, Financial Modeling","Not available","Not specified","https://www.clarigro.com"
"SparesHub","Automobile Parts","B2B Automobile Parts Supply","2013","Pune, Maharashtra","https://in.linkedin.com/company/spareshub"
"Converse AI Labs","Conversational AI","AI Assistant using OpenAI & ElevenLabs APIs","Not available","Not specified","https://github.com/johnsosoka/converse-ai"
"Code Driven Labs","IT Services","Software Development, Cloud Solutions","2023","Hyderabad, Telangana","https://in.linkedin.com/company/codedrivenlabs"
"Zyvka","HR Technology","AI-Powered Hiring & Skilling Platform","2022","Sacramento, CA & India","https://startupbox.zyvka.com/about"
"Festylo India","Not specified","Not clearly defined","February 2025*","Valsad, Gujarat","https://www.thecompanycheck.com/company/festylo-india-private-limited/U46901GJ2025PTC159452"
"Kape Technologies","Digital Security","VPNs, Antivirus, Security Software","Not available","Not specified","https://www.kape.com/our-brands/"
"Pathwise","Education","College Application Guidance, Mentoring","Not available","Not specified","https://www.pathwiseedu.com/about.html"
